Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000040000000 CH2:0.0000040000000,,Second,Volt,Volt
,,,-0.04053600132,-0.08000,0.00
,,,-0.04053200036,0.00,0.00
,,,-0.04052799940,0.00,0.00
,,,-0.04052399844,0.00,0.00
,,,-0.04052000120,0.00,0.00
,,,-0.04051600024,0.00,0.08000
,,,-0.04051199928,0.00,0.00
,,,-0.04050799832,0.00,0.00
,,,-0.04050400108,0.00,0.00
,,,-0.04050000012,0.00,0.00
,,,-0.04049599916,-0.08000,0.00
,,,-0.04049199820,0.00,0.00
,,,-0.04048800096,0.00,0.00
,,,-0.04048400000,0.00,0.00
,,,-0.04047999904,0.00,0.00
,,,-0.04047599807,-0.08000,0.00
,,,-0.04047200084,0.00,0.00
,,,-0.04046799988,0.00,0.00
,,,-0.04046399891,0.00,0.00
,,,-0.04046000168,0.00,0.00
,,,-0.04045600072,0.00,0.00
,,,-0.04045199975,0.00,0.00
,,,-0.04044799879,0.00,0.00
,,,-0.04044400156,0.00,0.00
,,,-0.04044000059,0.00,0.00
,,,-0.04043599963,0.00,0.00
,,,-0.04043199867,0.00,0.00
,,,-0.04042800143,0.00,0.00
,,,-0.04042400047,-0.08000,0.00
,,,-0.04041999951,0.00,0.00
,,,-0.04041599855,0.00,0.00
,,,-0.04041200131,0.00,0.00
,,,-0.04040800035,0.00,0.00
,,,-0.04040399939,0.00,0.00
,,,-0.04039999843,-0.08000,0.00
,,,-0.04039600119,0.00,0.00
,,,-0.04039200023,0.00,0.00
,,,-0.04038799927,0.00,0.00
,,,-0.04038399830,-0.08000,0.00
,,,-0.04038000107,0.00,0.00
,,,-0.04037600011,-0.08000,0.00
,,,-0.04037199914,0.00,0.00
,,,-0.04036799818,0.00,0.00
,,,-0.04036400095,0.00,-0.08000
,,,-0.04035999998,0.00,0.00
,,,-0.04035599902,0.00,0.00
,,,-0.04035199806,0.00,0.00
,,,-0.04034800082,0.00,0.00
,,,-0.04034399986,0.00,0.00
,,,-0.04033999890,0.00,0.00
,,,-0.04033600166,0.00,0.08000
,,,-0.04033200070,0.00,0.00
,,,-0.04032799974,0.00,0.00
,,,-0.04032399878,0.00,-0.08000
,,,-0.04032000154,0.00,0.00
,,,-0.04031600058,0.00,0.00
,,,-0.04031199962,0.00,0.00
,,,-0.04030799866,0.00,0.00
,,,-0.04030400142,0.00,0.00
,,,-0.04030000046,0.00,0.00
,,,-0.04029599950,0.00,0.00
,,,-0.04029199854,0.00,0.00
,,,-0.04028800130,0.00,0.00
,,,-0.04028400034,0.00,0.00
,,,-0.04027999938,0.00,0.00
,,,-0.04027599841,0.00,0.00
,,,-0.04027200118,0.00,0.00
,,,-0.04026800022,0.00,0.00
,,,-0.04026399925,0.00,0.00
,,,-0.04025999829,0.00,0.00
,,,-0.04025600106,0.00,0.00
,,,-0.04025200009,0.00,0.00
,,,-0.04024799913,0.00,0.00
,,,-0.04024399817,0.00,0.00
,,,-0.04024000093,0.00,0.00
,,,-0.04023599997,0.00,0.00
,,,-0.04023199901,0.00,0.00
,,,-0.04022799805,0.00,0.08000
,,,-0.04022400081,0.00,0.00
,,,-0.04021999985,0.00,0.00
,,,-0.04021599889,0.00,0.00
,,,-0.04021200165,0.00,0.00
,,,-0.04020800069,0.00,0.00
,,,-0.04020399973,-0.08000,0.00
,,,-0.04019999877,0.00,-0.08000
,,,-0.04019600153,-0.08000,0.00
,,,-0.04019200057,0.00,0.00
,,,-0.04018799961,0.00,0.00
,,,-0.04018399864,0.00,0.00
,,,-0.04018000141,0.00,0.00
,,,-0.04017600045,0.00,0.00
,,,-0.04017199948,-0.08000,-0.08000
,,,-0.04016799852,0.00,0.00
,,,-0.04016400129,0.00,0.00
,,,-0.04016000032,0.00,0.00
,,,-0.04015599936,-0.08000,0.00
,,,-0.04015199840,0.00,0.00
,,,-0.04014800116,0.00,0.00
,,,-0.04014400020,-0.08000,0.08000
,,,-0.04013999924,0.00,0.00
,,,-0.04013599828,0.00,0.00
,,,-0.04013200104,0.00,0.00
,,,-0.04012800008,0.00,0.00
,,,-0.04012399912,0.00,0.00
,,,-0.04011999816,0.00,0.00
